contentid,originimgurl,smallimageurl,cpyrhtDivCd,imgname,serialnum
2837896,http://tong.visitkorea.or.kr/cms/resource/89/2837889_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/2837889_image3_1.JPG,Type3,강원도_고성군_아야트커피_실내 (1),2837889_3
2837896,http://tong.visitkorea.or.kr/cms/resource/90/2837890_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/2837890_image3_1.JPG,Type3,강원도_고성군_아야트커피_실내 (2),2837890_2
2837896,http://tong.visitkorea.or.kr/cms/resource/91/2837891_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/91/2837891_image3_1.JPG,Type3,강원도_고성군_아야트커피_음료 (1),2837891_4
2837896,http://tong.visitkorea.or.kr/cms/resource/93/2837893_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2837893_image3_1.JPG,Type3,강원도_고성군_아야트커피_전경 (9),2837893_1
2839753,http://tong.visitkorea.or.kr/cms/resource/43/2839743_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2839743_image3_1.JPG,Type3,강원도_고성군_언더버튼_베이커리 (1),2839743_1
2839753,http://tong.visitkorea.or.kr/cms/resource/44/2839744_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/2839744_image3_1.JPG,Type3,강원도_고성군_언더버튼_베이커리 (3),2839744_4
2839753,http://tong.visitkorea.or.kr/cms/resource/45/2839745_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/2839745_image3_1.JPG,Type3,강원도_고성군_언더버튼_실내 (1),2839745_3
2839753,http://tong.visitkorea.or.kr/cms/resource/46/2839746_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/2839746_image3_1.JPG,Type3,강원도_고성군_언더버튼_실내 (2),2839746_2
2874301,http://tong.visitkorea.or.kr/cms/resource/87/2874287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2874287_image3_1.jpg,Type3,이운성_강원도_고성군_동해반점_음식2,2874287_1
2874301,http://tong.visitkorea.or.kr/cms/resource/88/2874288_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2874288_image3_1.jpg,Type3,이운성_강원도_고성군_동해반점_내부1,2874288_2
2874301,http://tong.visitkorea.or.kr/cms/resource/90/2874290_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2874290_image3_1.jpg,Type3,이운성_강원도_고성군_동해반점_외부,2874290_3
2874315,http://tong.visitkorea.or.kr/cms/resource/58/2895158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2895158_image3_1.jpg,Type3,이운성_강원도_고성군_만성횟집_음식1,2895158_4
2874315,http://tong.visitkorea.or.kr/cms/resource/59/2895159_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2895159_image3_1.jpg,Type3,이운성_강원도_고성군_만성횟집_음식2,2895159_1
2874315,http://tong.visitkorea.or.kr/cms/resource/60/2895160_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2895160_image3_1.jpg,Type3,이운성_강원도_고성군_만성횟집_음식3,2895160_2
