contentid,originimgurl,imgname,smallimageurl,cpyrhtDivCd,serialnum
126727,http://tong.visitkorea.or.kr/cms/resource/00/3070100_image2_1.jpg,반암해변 (10),http://tong.visitkorea.or.kr/cms/resource/00/3070100_image3_1.jpg,Type3,3070100_5
126727,http://tong.visitkorea.or.kr/cms/resource/93/3070093_image2_1.jpg,반암해변 (3),http://tong.visitkorea.or.kr/cms/resource/93/3070093_image3_1.jpg,Type3,3070093_11
126727,http://tong.visitkorea.or.kr/cms/resource/95/3070095_image2_1.jpg,반암해변 (5),http://tong.visitkorea.or.kr/cms/resource/95/3070095_image3_1.jpg,Type3,3070095_10
126776,http://tong.visitkorea.or.kr/cms/resource/80/2922080_image2_1.jpg,명파해변_1,http://tong.visitkorea.or.kr/cms/resource/80/2922080_image3_1.jpg,Type3,2922080_6
126776,http://tong.visitkorea.or.kr/cms/resource/81/2922081_image2_1.jpg,명파해변_2,http://tong.visitkorea.or.kr/cms/resource/81/2922081_image3_1.jpg,Type3,2922081_3
126776,http://tong.visitkorea.or.kr/cms/resource/82/2922082_image2_1.jpg,명파해변_3,http://tong.visitkorea.or.kr/cms/resource/82/2922082_image3_1.jpg,Type3,2922082_2
126776,http://tong.visitkorea.or.kr/cms/resource/83/2922083_image2_1.jpg,명파해변_4,http://tong.visitkorea.or.kr/cms/resource/83/2922083_image3_1.jpg,Type3,2922083_7
126776,http://tong.visitkorea.or.kr/cms/resource/84/2922084_image2_1.jpg,명파해변_5,http://tong.visitkorea.or.kr/cms/resource/84/2922084_image3_1.jpg,Type3,2922084_5
126776,http://tong.visitkorea.or.kr/cms/resource/85/2922085_image2_1.jpg,명파해변_6,http://tong.visitkorea.or.kr/cms/resource/85/2922085_image3_1.jpg,Type3,2922085_9
126776,http://tong.visitkorea.or.kr/cms/resource/86/2922086_image2_1.jpg,명파해변_7,http://tong.visitkorea.or.kr/cms/resource/86/2922086_image3_1.jpg,Type3,2922086_8
126776,http://tong.visitkorea.or.kr/cms/resource/87/2922087_image2_1.jpg,명파해변_8,http://tong.visitkorea.or.kr/cms/resource/87/2922087_image3_1.jpg,Type3,2922087_4
126776,http://tong.visitkorea.or.kr/cms/resource/89/2922089_image2_1.jpg,명파해변_10,http://tong.visitkorea.or.kr/cms/resource/89/2922089_image3_1.jpg,Type3,2922089_1
126777,http://tong.visitkorea.or.kr/cms/resource/21/3006721_image2_1.jpg,초도해변 (3),http://tong.visitkorea.or.kr/cms/resource/21/3006721_image3_1.jpg,Type3,3006721_1
126777,http://tong.visitkorea.or.kr/cms/resource/22/3006722_image2_1.jpg,초도해변 (4),http://tong.visitkorea.or.kr/cms/resource/22/3006722_image3_1.jpg,Type3,3006722_3
126777,http://tong.visitkorea.or.kr/cms/resource/23/3006723_image2_1.jpg,초도해변 (5),http://tong.visitkorea.or.kr/cms/resource/23/3006723_image3_1.jpg,Type3,3006723_2
126778,http://tong.visitkorea.or.kr/cms/resource/73/3006873_image2_1.jpg,대진1리해변 (1),http://tong.visitkorea.or.kr/cms/resource/73/3006873_image3_1.jpg,Type3,3006873_5
126778,http://tong.visitkorea.or.kr/cms/resource/75/3006875_image2_1.jpg,대진1리해변 (3),http://tong.visitkorea.or.kr/cms/resource/75/3006875_image3_1.jpg,Type3,3006875_3
126778,http://tong.visitkorea.or.kr/cms/resource/76/3006876_image2_1.jpg,대진1리해변 (4),http://tong.visitkorea.or.kr/cms/resource/76/3006876_image3_1.jpg,Type3,3006876_4
126778,http://tong.visitkorea.or.kr/cms/resource/78/3006878_image2_1.jpg,대진1리해변 (6),http://tong.visitkorea.or.kr/cms/resource/78/3006878_image3_1.jpg,Type3,3006878_1
126778,http://tong.visitkorea.or.kr/cms/resource/79/3006879_image2_1.jpg,대진1리해변 (7),http://tong.visitkorea.or.kr/cms/resource/79/3006879_image3_1.jpg,Type3,3006879_2
126784,http://tong.visitkorea.or.kr/cms/resource/23/3515823_image2_1.jpg,강원고성_거진11리해변 (2),http://tong.visitkorea.or.kr/cms/resource/23/3515823_image3_1.jpg,Type1,3515823_1
126784,http://tong.visitkorea.or.kr/cms/resource/24/3515824_image2_1.jpg,강원고성_거진11리해변 (3),http://tong.visitkorea.or.kr/cms/resource/24/3515824_image3_1.jpg,Type1,3515824_3
126784,http://tong.visitkorea.or.kr/cms/resource/25/3515825_image2_1.jpg,강원고성_거진11리해변 (4),http://tong.visitkorea.or.kr/cms/resource/25/3515825_image3_1.jpg,Type1,3515825_2
126784,http://tong.visitkorea.or.kr/cms/resource/26/3515826_image2_1.jpg,강원고성_거진11리해변 (5),http://tong.visitkorea.or.kr/cms/resource/26/3515826_image3_1.jpg,Type1,3515826_4
126784,http://tong.visitkorea.or.kr/cms/resource/27/3515827_image2_1.jpg,강원고성_거진11리해변 (6),http://tong.visitkorea.or.kr/cms/resource/27/3515827_image3_1.jpg,Type1,3515827_5
126785,http://tong.visitkorea.or.kr/cms/resource/64/3513764_image2_1.jpg,고성_가진해변 (2),http://tong.visitkorea.or.kr/cms/resource/64/3513764_image3_1.jpg,Type1,3513764_2
126785,http://tong.visitkorea.or.kr/cms/resource/65/3513765_image2_1.jpg,고성_가진해변 (3),http://tong.visitkorea.or.kr/cms/resource/65/3513765_image3_1.jpg,Type1,3513765_1
126785,http://tong.visitkorea.or.kr/cms/resource/66/3513766_image2_1.jpg,고성_가진해변 (4),http://tong.visitkorea.or.kr/cms/resource/66/3513766_image3_1.jpg,Type1,3513766_3
126785,http://tong.visitkorea.or.kr/cms/resource/67/3513767_image2_1.jpg,고성_가진해변 (5),http://tong.visitkorea.or.kr/cms/resource/67/3513767_image3_1.jpg,Type1,3513767_4
126785,http://tong.visitkorea.or.kr/cms/resource/68/3513768_image2_1.jpg,고성_가진해변 (6),http://tong.visitkorea.or.kr/cms/resource/68/3513768_image3_1.jpg,Type1,3513768_5
126788,http://tong.visitkorea.or.kr/cms/resource/49/3048349_image2_1.jpg,문암2리해변 (1),http://tong.visitkorea.or.kr/cms/resource/49/3048349_image3_1.jpg,Type3,3048349_4
126788,http://tong.visitkorea.or.kr/cms/resource/50/3048350_image2_1.jpg,문암2리해변 (2),http://tong.visitkorea.or.kr/cms/resource/50/3048350_image3_1.jpg,Type3,3048350_6
126788,http://tong.visitkorea.or.kr/cms/resource/51/3048351_image2_1.jpg,문암2리해변 (3),http://tong.visitkorea.or.kr/cms/resource/51/3048351_image3_1.jpg,Type3,3048351_2
126788,http://tong.visitkorea.or.kr/cms/resource/53/3048353_image2_1.jpg,문암2리해변 (5),http://tong.visitkorea.or.kr/cms/resource/53/3048353_image3_1.jpg,Type3,3048353_1
126788,http://tong.visitkorea.or.kr/cms/resource/55/3048355_image2_1.jpg,문암2리해변 (7),http://tong.visitkorea.or.kr/cms/resource/55/3048355_image3_1.jpg,Type3,3048355_3
126788,http://tong.visitkorea.or.kr/cms/resource/56/3048356_image2_1.jpg,문암2리해변 (8),http://tong.visitkorea.or.kr/cms/resource/56/3048356_image3_1.jpg,Type3,3048356_5
126788,http://tong.visitkorea.or.kr/cms/resource/57/3048357_image2_1.jpg,문암2리해변 (9),http://tong.visitkorea.or.kr/cms/resource/57/3048357_image3_1.jpg,Type3,3048357_7
126788,http://tong.visitkorea.or.kr/cms/resource/58/3048358_image2_1.jpg,문암2리해변 (10),http://tong.visitkorea.or.kr/cms/resource/58/3048358_image3_1.jpg,Type3,3048358_8
126788,http://tong.visitkorea.or.kr/cms/resource/60/3048360_image2_1.jpg,문암2리해변 (12),http://tong.visitkorea.or.kr/cms/resource/60/3048360_image3_1.jpg,Type3,3048360_9
126788,http://tong.visitkorea.or.kr/cms/resource/52/3048352_image2_1.jpg,문암2리해변 (4),http://tong.visitkorea.or.kr/cms/resource/52/3048352_image3_1.jpg,Type3,3048352_12
126788,http://tong.visitkorea.or.kr/cms/resource/54/3048354_image2_1.jpg,문암2리해변 (6),http://tong.visitkorea.or.kr/cms/resource/54/3048354_image3_1.jpg,Type3,3048354_11
126788,http://tong.visitkorea.or.kr/cms/resource/61/3048361_image2_1.jpg,문암2리해변 (13),http://tong.visitkorea.or.kr/cms/resource/61/3048361_image3_1.jpg,Type3,3048361_10
